AGIs,genes,clust
AT1G01480,ACS2,13
AT1G01580,FRO2,44
AT1G02230,NAC004,6
AT1G02920,GSTF7,37
AT1G02930,GSTF6,13
AT1G03070,AT1G03070,32
AT1G03090,MCCA,32
AT1G04240,SHY2,2
AT1G04310,ERS2,22
AT1G04550,IAA12,40
AT1G04770,AT1G04770,48
AT1G05300,ZIP5,12
AT1G05710,AT1G05710,13
AT1G05990,AT1G05990,38
AT1G06980,AT1G06980,44
AT1G07150,MAPKKK13,19
AT1G10150,AT1G10150,46
AT1G10380,AT1G10380,45
AT1G10470,ARR4,32
AT1G10480,ZFP5,32
AT1G10550,XTH33,29
AT1G11655,AT1G11655,16
AT1G11690,AT1G11690,7
AT1G11700,AT1G11700,11
AT1G12420,ACR8,32
AT1G12710,PP2-A12,12
AT1G12740,CYP87A2,1
AT1G12760,AT1G12760,13
AT1G13300,HRS1,4
AT1G13430,ST4C,14
AT1G13480,AT1G13480,44
AT1G14540,PER4,34
AT1G14550,AT1G14550,48
AT1G14860,NUDT18,13
AT1G15040,GAT1_2.1,13
AT1G15100,RHA2A,32
AT1G15380,GLYI4,11
AT1G15550,GA3OX1,6
AT1G16400,CYP79F2,11
AT1G16630,AT1G16630,40
AT1G17300,AT1G17300,4
AT1G17310,AT1G17310,41
AT1G18370,HIK,40
AT1G18590,SOT17,23
AT1G19020,AT1G19020,13
AT1G19050,ARR7,32
AT1G19220,ARF19,19
AT1G20070,AT1G20070,44
AT1G21010,AT1G21010,42
AT1G21120,IGMT2,12
AT1G22360,UGT85A2,36
AT1G23052,AT1G23052,NaN
AT1G23090,AST91,6
AT1G23390,AT1G23390,19
AT1G23980,AT1G23980,17
AT1G25400,AT1G25400,36
AT1G27110,AT1G27110,41
AT1G28330,DYL1,31
AT1G30820,AT1G30820,30
AT1G31770,ABCG14,45
AT1G32450,NRT1.5,3
AT1G32640,MYC2,18
AT1G32690,AT1G32690,14
AT1G32700,AT1G32700,42
AT1G34330,AT1G34330,43
AT1G34520,AT1G34520,43
AT1G43160,RAP2.6,13
AT1G43650,UMAMIT22,22
AT1G44575,NPQ4,6
AT1G48760,delta-ADR,3
AT1G49560,AT1G49560,45
AT1G52240,ROPGEF11,15
AT1G53233,AT1G53233,47
AT1G53440,AT1G53440,42
AT1G54120,AT1G54120,36
AT1G54740,AT1G54740,6
AT1G55990,AT1G55990,13
AT1G56430,NAS4,11
AT1G57560,MYB50,24
AT1G59850,AT1G59850,39
AT1G60010,AT1G60010,32
AT1G60190,PUB19,39
AT1G60390,PG1,22
AT1G62770,AT1G62770,6
AT1G62975,AT1G62975,13
AT1G63600,AT1G63600,43
AT1G64590,AT1G64590,13
AT1G64660,MGL,3
AT1G64780,AMT1;2,13
AT1G64930,CYP89A7,35
AT1G64940,CYP89A6,35
AT1G65060,4CL3,6
AT1G66470,RHD6,43
AT1G67030,ZFP6,28
AT1G67270,AT1G67270,12
AT1G67900,AT1G67900,34
AT1G67910,AT1G67910,24
AT1G68020,ATTPS6,45
AT1G69780,ATHB13,4
AT1G71520,AT1G71520,47
AT1G72940,AT1G72940,4
AT1G73330,DR4,11
AT1G74460,AT1G74460,13
AT1G75000,AT1G75000,35
AT1G75440,UBC16,6
AT1G75450,CKX5,38
AT1G76210,AT1G76210,13
AT1G76220,AT1G76220,6
AT1G76580,AT1G76580,47
AT1G76600,AT1G76600,44
AT1G76930,EXT4,12
AT1G77380,AAP3,45
AT1G77640,AT1G77640,6
AT1G77760,NIA1,36
AT1G78120,TPR12,32
AT1G78390,NCED9,36
AT1G78690,At1g78690p,3
AT1G79250,AGC1.7,38
AT1G80120,AT1G80120,45
AT1G80240,DGR1,41
AT1G80340,GA3OX2,6
AT1G80380,AT1G80380,13
AT1G80440,AT1G80440,28
AT1G80840,WRKY40,33
AT2G01150,RHA2B,33
AT2G01422,AT2G01422,16
AT2G01520,MLP328,48
AT2G02620,AT2G02620,24
AT2G02710,PLPB,14
AT2G02950,PKS1,6
AT2G02990,RNS1,13
AT2G07783,AT2G07783,25
AT2G13360,AGT,30
AT2G16005,AT2G16005,7
AT2G17880,AT2G17880,31
AT2G19190,FRK1,12
AT2G19410,AT2G19410,11
AT2G19800,MIOX2,36
AT2G19810,OZF1,35
AT2G20080,AT2G20080,7
AT2G20142,AT2G20142,31
AT2G20670,AT2G20670,19
AT2G20880,ERF53,34
AT2G21050,LAX2,40
AT2G21510,AT2G21510,21
AT2G22740,SUVH6,46
AT2G22750,AT2G22750,36
AT2G22770,NAI1,1
AT2G22790,AT2G22790,19
AT2G23910,AT2G23910,6
AT2G24070,QWRF4,32
AT2G24400,AT2G24400,41
AT2G24755,AT2G24755,2
AT2G24760,AT2G24760,2
AT2G25130,AT2G25130,1
AT2G25900,ATCTH,5
AT2G26290,ARSK1,34
AT2G26480,UGT76D1,24
AT2G26760,CYCB1;4,26
AT2G28780,AT2G28780,3
AT2G29330,TRI,30
AT2G30600,AT2G30600,14
AT2G31220,AT2G31220,49
AT2G31230,ERF15,31
AT2G31310,LBD14,11
AT2G31810,AT2G31810,5
AT2G32150,AT2G32150,19
AT2G32510,MAPKKK17,39
AT2G32960,PFA-DSP2,11
AT2G33460,RIC1,43
AT2G33560,BUBR1,40
AT2G33830,AT2G33830,22
AT2G34010,AT2G34010,6
AT2G34180,CIPK13,1
AT2G35800,SAMTL,5
AT2G35980,YLS9,13
AT2G36690,AT2G36690,12
AT2G36990,SIGF,5
AT2G37430,ZAT11,47
AT2G38230,PDX1.1,44
AT2G39010,PIP2E,6
AT2G39180,CCR2,29
AT2G39310,JAL22,12
AT2G39570,ACR9,19
AT2G39700,EXPA4,44
AT2G39705,RTFL8,28
AT2G40000,HSPRO2,33
AT2G40330,PYL6,34
AT2G40750,WRKY54,12
AT2G41310,RR3,36
AT2G41380,AT2G41380,6
AT2G41640,AT2G41640,28
AT2G41650,AT2G41650,5
AT2G43050,ATPMEPCRD,22
AT2G43470,AT2G43470,44
AT2G43500,AT2G43500,47
AT2G43535,AT2G43535,36
AT2G43570,CHI,12
AT2G43590,AT2G43590,12
AT2G43620,AT2G43620,12
AT2G46750,GulLO2,12
AT2G46830,CCA1,33
AT2G47015,MIR408,39
AT2G47020,AT2G47020,5
AT2G47240,LACS1,34
AT3G01420,DOX1,34
AT3G01513,AT3G01513,13
AT3G01950,AT3G01950,45
AT3G02555,AT3G02555,13
AT3G03450,RGL2,44
AT3G03530,NPC4,32
AT3G04630,WDL1,33
AT3G05320,AT3G05320,35
AT3G06850,BCE2,5
AT3G08970,ATERDJ3A,33
AT3G10020,AT3G10020,18
AT3G10960,AZG1,33
AT3G12500,HCHIB,34
AT3G13430,AT3G13430,13
AT3G13480,AT3G13480,2
AT3G13600,AT3G13600,47
AT3G13650,AT3G13650,13
AT3G14225,GLIP4,48
AT3G14260,AT3G14260,6
AT3G14362,RTFL10,44
AT3G14440,NCED3,33
AT3G15356,AT3G15356,31
AT3G15370,EXPA12,27
AT3G15450,AT3G15450,45
AT3G15540,IAA19,39
AT3G15630,AT3G15630,39
AT3G15810,AT3G15810,47
AT3G16390,NSP3,43
AT3G16470,JR1,11
AT3G16800,AT3G16800,33
AT3G18200,UMAMIT4,24
AT3G18710,PUB29,11
AT3G20340,AT3G20340,22
AT3G20860,NEK5,32
AT3G21560,UGT84A2,6
AT3G21690,AT3G21690,13
AT3G21720,ICL,44
AT3G22060,AT3G22060,1
AT3G22070,AT3G22070,32
AT3G22250,AT3G22250,29
AT3G22740,HMT3,41
AT3G22840,ELIP1,42
AT3G23150,ETR2,36
AT3G23880,AT3G23880,40
AT3G24517,AT3G24517,13
AT3G24520,HSFC1,14
AT3G25700,AT3G25700,8
AT3G26290,CYP71B26,30
AT3G26460,AT3G26460,19
AT3G26550,AT3G26550,8
AT3G28160,AT3G28160,6
AT3G30775,ERD5,44
AT3G44300,NIT2,30
AT3G44326,AT3G44326,19
AT3G44735,PSK3,14
AT3G45060,NRT2.6,1
AT3G45300,IVD,17
AT3G45660,AT3G45660,36
AT3G45700,AT3G45700,11
AT3G45730,AT3G45730,35
AT3G46690,AT3G46690,21
AT3G46900,COPT2,39
AT3G47340,ASN1,6
AT3G47380,AT3G47380,12
AT3G47500,CDF3,22
